Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,2
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L10 and L11: Lower supervisory and technical occupations,1
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L12: Semi-routine occupations,4
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L13: Routine occupations,4
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L14.1: Never worked,6
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,L14.2: Long-term unemployed,3
E05013525,Hanwell Broadway,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11,L15: Full-time students,5
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,31
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",1,L1 and L2: Large employers and higher managerial and administrative occupations,11
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",2,L3: Higher professional occupations,35
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",23
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",4,L7: Intermediate occupations,14
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",5,L8 and L9: Small employers and own account workers,7
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",6,L10 and L11: Lower supervisory and technical occupations,4
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",7,L12: Semi-routine occupations,9
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",8,L13: Routine occupations,6
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",9,L14.1: Never worked,6
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",10,L14.2: Long-term unemployed,2
E05013525,Hanwell Broadway,2,"Asian, Asian British or Asian Welsh: Chinese",11,L15: Full-time students,12
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,93
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",1,L1 and L2: Large employers and higher managerial and administrative occupations,39
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",2,L3: Higher professional occupations,83
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",120
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",4,L7: Intermediate occupations,73
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",5,L8 and L9: Small employers and own account workers,45
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",6,L10 and L11: Lower supervisory and technical occupations,18
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",7,L12: Semi-routine occupations,63
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",8,L13: Routine occupations,61
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",9,L14.1: Never worked,96
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",10,L14.2: Long-term unemployed,24
E05013525,Hanwell Broadway,3,"Asian, Asian British or Asian Welsh: Indian",11,L15: Full-time students,36
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,102
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",1,L1 and L2: Large employers and higher managerial and administrative occupations,8
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",2,L3: Higher professional occupations,23
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",45
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",4,L7: Intermediate occupations,26
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",5,L8 and L9: Small employers and own account workers,20
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",6,L10 and L11: Lower supervisory and technical occupations,9
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,29
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,32
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,64
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,8
E05013525,Hanwell Broadway,4,"Asian, Asian British or Asian Welsh: Pakistani",11,L15: Full-time students,34
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,140
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",1,L1 and L2: Large employers and higher managerial and administrative occupations,15
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",2,L3: Higher professional occupations,45
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",124
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L7: Intermediate occupations,51
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L8 and L9: Small employers and own account workers,58
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L10 and L11: Lower supervisory and technical occupations,39
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,59
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,60
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,87
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,13
E05013525,Hanwell Broadway,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,62
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,306
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,14
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,40
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",84
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,46
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,51
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,27
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,86
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,76
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,100
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,26
E05013525,Hanwell Broadway,6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,130
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,68
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,9
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,24
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",112
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,66
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,46
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,13
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,72
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,60
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,59
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,17
E05013525,Hanwell Broadway,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,25
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,59
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,4
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",19
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,8
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,6
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,3
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,14
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,14
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,19
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,1
E05013525,Hanwell Broadway,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,13
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,137
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,13
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",41
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,13
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,12
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,3
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,17
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,11
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,5
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,1
E05013525,Hanwell Broadway,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,28
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,66
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,5
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",27
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,13
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,6
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,3
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,6
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,5
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,6
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,3
E05013525,Hanwell Broadway,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,8
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,118
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,16
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",35
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,20
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,20
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,10
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,23
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,19
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,17
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,3
E05013525,Hanwell Broadway,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,27
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,127
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,15
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",41
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,15
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,12
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,9
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,13
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,14
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,15
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,5
E05013525,Hanwell Broadway,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,42
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,1135
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,265
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,634
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1345
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,439
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,463
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,180
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,285
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,252
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,274
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,53
E05013525,Hanwell Broadway,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,270
E05013525,Hanwell Broadway,14,White: Irish,-8,Does not apply,38
E05013525,Hanwell Broadway,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,29
E05013525,Hanwell Broadway,14,White: Irish,2,L3: Higher professional occupations,87
E05013525,Hanwell Broadway,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",188
E05013525,Hanwell Broadway,14,White: Irish,4,L7: Intermediate occupations,67
E05013525,Hanwell Broadway,14,White: Irish,5,L8 and L9: Small employers and own account workers,83
E05013525,Hanwell Broadway,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,18
E05013525,Hanwell Broadway,14,White: Irish,7,L12: Semi-routine occupations,49
E05013525,Hanwell Broadway,14,White: Irish,8,L13: Routine occupations,73
E05013525,Hanwell Broadway,14,White: Irish,9,L14.1: Never worked,34
E05013525,Hanwell Broadway,14,White: Irish,10,L14.2: Long-term unemployed,12
E05013525,Hanwell Broadway,14,White: Irish,11,L15: Full-time students,7
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,1
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,1
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,0
E05013525,Hanwell Broadway,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,0
E05013525,Hanwell Broadway,16,White: Roma,-8,Does not apply,10
E05013525,Hanwell Broadway,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013525,Hanwell Broadway,16,White: Roma,2,L3: Higher professional occupations,1
E05013525,Hanwell Broadway,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",14
E05013525,Hanwell Broadway,16,White: Roma,4,L7: Intermediate occupations,1
E05013525,Hanwell Broadway,16,White: Roma,5,L8 and L9: Small employers and own account workers,13
E05013525,Hanwell Broadway,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,7
E05013525,Hanwell Broadway,16,White: Roma,7,L12: Semi-routine occupations,4
E05013525,Hanwell Broadway,16,White: Roma,8,L13: Routine occupations,20
E05013525,Hanwell Broadway,16,White: Roma,9,L14.1: Never worked,4
E05013525,Hanwell Broadway,16,White: Roma,10,L14.2: Long-term unemployed,0
E05013525,Hanwell Broadway,16,White: Roma,11,L15: Full-time students,4
E05013525,Hanwell Broadway,17,White: Other White,-8,Does not apply,416
E05013525,Hanwell Broadway,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,92
E05013525,Hanwell Broadway,17,White: Other White,2,L3: Higher professional occupations,285
E05013525,Hanwell Broadway,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",537
E05013525,Hanwell Broadway,17,White: Other White,4,L7: Intermediate occupations,218
E05013525,Hanwell Broadway,17,White: Other White,5,L8 and L9: Small employers and own account workers,574
E05013525,Hanwell Broadway,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,121
E05013525,Hanwell Broadway,17,White: Other White,7,L12: Semi-routine occupations,159
E05013525,Hanwell Broadway,17,White: Other White,8,L13: Routine occupations,225
E05013525,Hanwell Broadway,17,White: Other White,9,L14.1: Never worked,72
E05013525,Hanwell Broadway,17,White: Other White,10,L14.2: Long-term unemployed,26
E05013525,Hanwell Broadway,17,White: Other White,11,L15: Full-time students,159
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,-8,Does not apply,117
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,2,L3: Higher professional occupations,30
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",43
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,4,L7: Intermediate occupations,24
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,28
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,19
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,19
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,8,L13: Routine occupations,19
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,9,L14.1: Never worked,90
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,7
E05013525,Hanwell Broadway,18,Other ethnic group: Arab,11,L15: Full-time students,46
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,-8,Does not apply,170
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,13
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,33
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",76
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,56
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,53
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,16
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,52
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,52
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,122
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,6
E05013525,Hanwell Broadway,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,46
